카테고리,goods_no,brand,name,price_org,price_cur,score,review_count,tags,link,img_url
비타민,A000000236279,뉴트리가든,뉴트리가든 멜팅업 리포좀 비타민C 30포 (1개월분),14900,14500,5.0,2,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000236279,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023627901ko.jpg?l=ko
비타민,A000000236484,뉴트리가든,뉴트리가든 메가플러스 비오틴 10000 60정 (2개월분),,13400,4.9,9,오늘드림,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000236484,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023648401ko.jpg?l=ko
비타민,A000000236809,데일리,데일리X주토피아 젤리스틱 멀티비타민 & 에센셜 14포 (14일분),,22900,5.0,29,오늘드림,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000236809,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023680906ko.jpg?l=ko
비타민,A000000236957,비타바움,비타바움 퓨어비타민C 500 (7병입) (7일분) + 1병 추가 증정,35000,25500,5.0,170,"세일, 쿠폰, 증정, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000236957,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023695717ko.jpg?l=ko
비타민,A000000237574,구트할로,구트할로 발포 비타민C 500 레몬맛 20정 1통,5800,4060,4.9,25,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000237574,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023757401ko.jpg?l=ko
비타민,A000000237577,구트할로,구트할로 발포 멀티비타민 오렌지맛 20정 1통,5800,4060,4.9,29,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000237577,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023757707ko.jpg?l=ko
비타민,A000000240120,니아르,니아르 지속성 비타민C 1000 14정 (14일분),,29800,5.0,4,오늘드림,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000240120,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024012002ko.jpg?l=ko
비타민,A000000240144,덴프스,[덴프스 X 카카오프렌즈] 멀티비타민 키즈 14포 (14일분),,30000,5.0,4,오늘드림,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000240144,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024014401ko.jpg?l=ko
비타민,A000000240532,콴첼,콴첼 초임계 비타민 K2+D3 30정 (1개월분),14800,10900,4.9,8,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000240532,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024053203ko.png?l=ko
비타민,A000000241086,데일리,(미키 키링 증정) 데일리X디즈니 구미 멀티비타민&비타민C 60구미*2박스,39900,35910,5.0,66,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000241086,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024108601ko.jpg?l=ko
비타민,A000000241088,데일리,(미니 키링 증정) 데일리X디즈니 구미 멀티비타민&비타민C 60구미*2박스,39900,35910,5.0,64,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000241088,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024108801ko.jpg?l=ko
비타민,A000000242164,베러유,베러유 비타민C 데일리 구강 스프레이 50ml (160회분),36900,18260,,,"세일, 쿠폰, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000242164,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024216401ko.jpg?l=ko
비타민,A000000242172,베러유,베러유 비타민 K2 데일리 구강 스프레이 25ml (60일분),,73900,,,오늘드림,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000242172,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024217201ko.jpg?l=ko
비타민,A000000242186,베러유,베러유 비타민D3+K2 데일리 구강 스프레이 12ml (90회분),37900,34200,,,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000242186,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024218603ko.jpg?l=ko
비타민,A000000242188,베러유,베러유 비타민D+K2 키즈 데일리 구강 스프레이 15ml (100회분),37900,34200,5.0,2,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000242188,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024218801ko.jpg?l=ko
비타민,A000000242190,베러유,베러유 비타민D 인펀트 데일리 구강 스프레이 15ml (100일분),25900,12940,5.0,3,"세일, 쿠폰, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000242190,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024219001ko.jpg?l=ko
비타민,A000000242192,베러유,베러유 비타민D 3000IU 데일리 구강 스프레이 15ml (100일분),,34900,5.0,1,오늘드림,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000242192,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024219201ko.jpg?l=ko
비타민,A000000242201,베러유,베러유 비타민D 주니어 데일리 구강 스프레이 15ml (100일분),,26900,5.0,4,오늘드림,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000242201,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024220101ko.jpg?l=ko
