순위,상품번호,도서명,부제목,저자,출판사,출판일,할인율,판매가,정가,판매지수,리뷰수,평점
486,110329031,TCP/IP 소켓 프로그래밍,,김선우,한빛아카데미,2022년 06월,,"32,000원","32,000원",732,7,10.0
487,109651824,훅: 일상을 사로잡는 제품의 비밀,,니르 이얄저/조자현역,유엑스리뷰,2022년 05월,10%,"20,700원","23,000원","2,775",30,9.8
488,108887922,면접을 위한 CS 전공지식 노트,"디자인 패턴, 운영체제, 데이터베이스, 자료 구조, 네트워크, 개발자 면접",주홍철,길벗,2022년 04월,10%,"21,600원","24,000원","2,934",103,9.0
489,108249673,솔리드웍스 50시간 완성 (모델링편),,신동진,피앤피북,2022년 03월,10%,"18,000원","20,000원","1,614",18,9.6
490,107888693,유튜버 옐롯과 함께하는 로블록스 게임 만들기,,옐롯,위키북스,2022년 03월,10%,"19,800원","22,000원","5,454",9,10.0
491,106009846,컴퓨팅 사고력을 키우는 이산수학,,박주미,한빛아카데미,2021년 12월,,"29,000원","29,000원","2,688",8,5.0
492,105776648,CDT 코딩창의개발능력 3급 엔트리,,해람북스 기획팀,해람북스,2022년 01월,10%,"14,400원","16,000원","1,878",5,8.0
493,105624992,한 권으로 끝내는 쇼피 판매 실전 바이블 싱가포르부터 동남아시아까지,,최진태,앤써북,2021년 12월,10%,"19,800원","22,000원",618,10,9.5
494,105156777,양자 암호 시스템의 시작,더 강력한 암호가 필요한 세상이 온다,"로저 A. 그라임스저/장기식,강형우,오형근,윤광택역 외 2명정보 더 보기/감추기로저 A. 그라임스장기식강형우오형근윤광택한경희이용석",에이콘출판사,2021년 11월,10%,"31,500원","35,000원",450,0,
495,105104944,모든 기획자와 디자이너가 알아야 할 사람에 대한 100가지 사실,,"수잔 웨인쉔크저/이재명,이예나,전이주역",위키북스,2021년 11월,10%,"22,500원","25,000원",924,9,9.3
496,104984379,온톨로지 과학자를 위한 지식그래프,,"딘 알레망,제임스 핸들러,파비엔 갠던저/김학래역",한빛아카데미,2021년 10월,5%,"42,750원","45,000원","1,326",0,
497,104739807,인벤터 50시간 완성 (조립·도면편),,신동진,피앤피북,2022년 01월,10%,"18,000원","20,000원","1,419",9,10.0
498,103707967,신뢰할 수 있는 인공지능,인공지능을 사회에서 받아들이기 위한 조건,한상기,클라우드나인,2021년 09월,10%,"15,300원","17,000원",216,10,9.9
499,102949767,ROS 2로 시작하는 로봇 프로그래밍,,"표윤석,임태훈",루비페이퍼,2021년 08월,10%,"28,800원","32,000원","2,370",8,10.0
500,102830177,C 언어 콘서트,누구나 쉽게 즐기는,천인국,생능출판사,2021년 07월,,"27,000원","27,000원","3,432",3,8.7
501,102183284,데이터 사이언스 Hard Carry,,신윤환,생능출판사,2021년 06월,,"29,000원","29,000원",288,0,
502,101907422,구글 마스터의 길,한 권으로 끝내는 구글 공인 교육자 프로그램의 모든 것,"신민철,전효진,서광석,박정철",테크빌교육,2021년 06월,10%,"18,000원","20,000원",372,3,10.0
503,99145937,"눈치껏 못 배웁니다, 일센스","이메일 작성법부터 엑셀 기본기까지, 친절한 선배 ‘공여사들’의 직팁 모음집",공여사들,21세기북스,2021년 04월,10%,"16,920원","18,800원",534,109,9.4
504,97538787,SQL Server로 배우는 데이터베이스 개론과 실습,,"박우창,남송휘,이현룡",한빛아카데미,2021년 02월,,"29,000원","29,000원",414,0,
505,96580456,Do it! 첫 코딩 with 파이썬,보통 사람이 알아야 할 프로그래밍 기초,정동균,이지스퍼블리싱,2021년 01월,10%,"16,200원","18,000원",888,45,9.9
506,96234546,혼자 공부하는 자바스크립트,1:1 과외하듯 배우는 프로그래밍 자습서,윤인성,한빛미디어,2021년 01월,10%,"21,600원","24,000원","1,146",38,9.6
507,95800974,그림으로 공부하는 IT 인프라 구조,개정판,"야마자키 야스시,미나와 케이코,아제카츠 요헤이,사토 타카히코저/김완섭역 외 1명정보 더 보기/감추기야마자키 야스시미나와 케이코아제카츠 요헤이사토 타카히코김완섭오다 케이지",제이펍,2020년 12월,10%,"23,400원","26,000원","2,160",40,9.6
508,95379724,마인크래프트 최강 전략 백과,어디서도 알려 주지 않은 마인크래프트 정보와 비결 A-Z,메건 밀러저/강세중역,서울문화사,2020년 11월,10%,"14,220원","15,800원","1,146",27,10.0
509,95343229,그림으로 배우는 서버 구조,,니시무라 야스히로저/김성훈역,영진닷컴,2020년 11월,10%,"14,400원","16,000원",414,20,9.4
510,94482730,EV3 로봇 창작 프로젝트,한 권으로 끝내는 EV3 로봇 프로젝트!,김형기,삼양미디어,2020년 11월,10%,"16,200원","18,000원",150,0,
511,92909426,악성코드 분석 시작하기,"윈도우 악성코드 분석에 필요한 개념과 도구, 테크닉",몬나파 K A저/여성구역,에이콘출판사,2020년 09월,10%,"32,400원","36,000원",456,2,10.0
512,91071614,한컴오피스 2020 한글+한셀+한쇼+한워드,,"㈜한글과컴퓨터,허미현,부성순",영진닷컴,2020년 07월,10%,"17,100원","19,000원","2,742",13,10.0
513,88429427,초보자를 위한 ORACLE 12c RAC 편,,"권순용,박준형,한남주,윤현,박호진",(주)엑시엄정보시스템,2020년 02월,5%,"36,100원","38,000원",186,1,2.0
514,87631760,데이터 시각화 교과서,데이터 분석의 본질을 살리는 그래프와 차트 제작의 기본 원리와 응용,클라우스 윌케저/권혜정역/최재원감수,책만,2020년 02월,10%,"25,200원","28,000원","1,170",14,9.9
515,87016689,판타지 캐릭터 일러스트 테크닉,,"츠요마루,나나하라 시에,모쿠리,야마무라 레저/김재훈역",한스미디어,2020년 01월,10%,"4,500원","5,000원",336,8,10.0
516,76182394,된다! 7일 실무 엑셀,‘짤막한 강좌’ 한쌤의 특별 과외,한정희,이지스퍼블리싱,2019년 07월,10%,"18,000원","20,000원","3,474",100,9.8
517,75457098,왕초보 유튜브 부업왕,소소한 용돈부터 월세 수익까지 현직 유튜버의 영업비밀 대공개!,문준희,진서원,2019년 07월,10%,"17,820원","19,800원",156,98,9.6
518,74219491,오브젝트,코드로 이해하는 객체지향 설계,조영호,위키북스,2019년 06월,10%,"34,200원","38,000원","1,836",34,9.5
519,66913718,인공지능을 위한 수학,꼭 필요한 것만 골라 배우는 인공지능 맞춤 수학,"이시카와 아키히코저/신상재,이진희역",프리렉,2018년 11월,10%,"22,500원","25,000원","2,118",33,9.2
520,66874798,시스템 해킹과 보안,정보 보안 개론과 실습,양대일,한빛아카데미,2018년 11월,,"27,000원","27,000원",792,7,9.4
521,61791203,"프로그래머, 수학으로 생각하라",논리적 사고와 문제 해결 능력을 기르는 수학 읽기,유키 히로시저/안동현역,프리렉,2018년 07월,10%,"18,000원","20,000원","1,218",14,9.6
522,61254539,친절한 SQL 튜닝,개발자를 위한 SQL 튜닝 입문서 / SQLP 핵심이론 집중 공략,조시형,디비안(DBian),2018년 06월,10%,"34,200원","38,000원","6,024",31,9.6
523,40977256,3D 게임 프로그래밍 입문,,프랭크 D. 루나저 /류광역,한빛미디어,2017년 05월,10%,"45,000원","50,000원",528,6,6.5
524,19887675,TCG 일러스트 작법서 입문편,,노진,디지털북스,2015년 08월,10%,"25,200원","28,000원",72,23,8.5
525,18249021,객체지향의 사실과 오해,"역할, 책임, 협력 관점에서 본 객체지향",조영호,위키북스,2015년 06월,10%,"18,000원","20,000원","2,334",90,9.4
526,11775117,린 분석,성공을 예측하는 31가지 사례와 13가지 패턴,"앨리스테어 크롤,벤저민 요스코비츠공저 /위선주역",한빛미디어,2014년 01월,10%,"25,200원","28,000원","1,626",11,9.4
527,11006976,미러리스 카메라 무작정 따라하기,보다 감성적이고 보다 스마트한 사진 레시피,문철진저/이경국그림,길벗,2013년 09월,10%,"19,800원","22,000원",426,18,9.3
528,9027376,패턴 랭귀지,,"크리스토퍼 알렉산더,사라 이시가와,머레이 실버스타인공저 /이용근,양시관,이수빈공역",인사이트(insight),2013년 07월,10%,"36,000원","40,000원","1,590",3,9.3
529,4130988,타이포그래피 교과서,,"제임스 크레이그,아이린 코롤 스칼라,윌리엄 베빙튼공저 /최문경,문지숙공역 /안상수감수",안그라픽스,2010년 08월,10%,"22,500원","25,000원","1,374",6,10.0
530,99422216,스프링 배치 완벽 가이드 2/e,클라우드 환경에서 활용하는 모던 배치 처리,"마이클 미넬라저/서경석,김성윤,이승룡역",에이콘출판사,2021년 04월,10%,"36,000원","40,000원",396,7,8.7
531,191298604,교수 설계와 AI 가이드라인,,"한승연,임지영",커뮤니케이션북스,2026년 06월,,"12,000원","12,000원",120,0,
532,191186931,과학탐구 방법과 AI 데이터 리터러시,,"신동선,이석현",커뮤니케이션북스,2026년 06월,,"12,000원","12,000원",120,0,
533,190210830,AI와 과학관,,"손성근,김민환,김상우",커뮤니케이션북스,2026년 05월,,"12,000원","12,000원","3,522",2,10.0
534,187753976,백엔드 개발자 온보딩 가이드,"취업 준비부터 첫 실무 설계까지, 신입 백엔드 개발자의 현실 적응 매뉴얼","이준형,김석현",한빛미디어,2026년 04월,10%,"31,500원","35,000원",588,9,10.0
535,186686870,7일 단기 완성 해킹 입문,TryHackMe로 즐기듯 배우는 합법적인 해킹 7일 실습 코스,"노미조 노미조,심중은",제이펍,2026년 04월,10%,"25,200원","28,000원",582,1,10.0
536,186524949,된다! AI 디자인 2026,나노 바나나 + 미드저니 + 포토샵 AI,김희재,이지스퍼블리싱,2026년 04월,10%,"26,820원","29,800원","1,506",11,10.0
537,168274102,바이브 코딩으로 배우는 풀스택 만들기,처음 시작하는 웹 개발,이희찬,길벗캠퍼스,2025년 12월,,"26,000원","26,000원",456,4,6.0
538,191852111,준비 끝 다음 수업 AI 에듀테크,"초기 세팅, 핵심 기능, 수업과 학급 운영까지, 샘솟는 아이디어 교실",노희경,비제이퍼블릭(BJ퍼블릭),2026년 06월,10%,"24,750원","27,500원",60,0,
539,191817437,AI와 책의 미래,,김헌준,커뮤니케이션북스,2026년 06월,,"12,000원","12,000원",60,0,
540,191817076,AI기본법이 뭐길래,처음 만나는 인공지능기본법의 모든 것,"노신정,마작가",페스트북,2026년 06월,10%,"15,300원","17,000원",60,0,
541,191697558,LUVIT♥ EPL과 유튜브 데이터로 배우는 DuckDB,"SQL 분석부터 파이썬을 활용한 데이터 시각화, 대시보드 실습까지",이기준,제이펍,2026년 06월,10%,"27,000원","30,000원",60,0,
542,191543351,AI를 길들이는 법,,장의웅,BOOKK(부크크),2026년 06월,,"17,300원","17,300원",60,0,
543,191534262,처음이지만 프로처럼 쓰는 n8n,"텔레그램 알림봇, 슬랙 자동화, Google Sheets 기반 리포트, AI 기반 뉴스 요약 및 이상 탐지 등 실무에서 바로 쓰는 AI 워크플로 실전 예제 수록",곽지호(단테),디지털북스,2026년 06월,10%,"29,700원","33,000원",60,0,
544,191508349,AI와 공연예술의 미래,,김서용,커뮤니케이션북스,2026년 06월,,"12,000원","12,000원",60,0,
545,191477503,평범한 일상을 특별하게 남기는 스마트폰 사진 & 보정,라이트룸과 포토샵으로 완성하는 나만의 감성 사진,최은영,시대인,2026년 06월,10%,"18,000원","20,000원",60,1,10.0
546,190440946,"구조를 읽는 눈, 도구를 지배한다",,김도균,ADK FIRST,2026년 05월,10%,"21,600원","24,000원",270,0,
547,190271690,실전 50개 프로젝트로 배우는 바이브 코딩,,김선철저/AI저(AI생성),BOOKK(부크크),2026년 05월,,"26,600원","26,600원",102,0,
548,189886108,뼛속까지 문과생도 단번에 이해하는 쉬운 말로 풀어 쓴 AI 기초 수학 이야기,,이승도,책도사,2026년 05월,10%,"10,710원","11,900원",144,0,
549,189763119,하네스 AI 시대의 새로운 몸,,강국진,미래상상,2026년 06월,10%,"15,300원","17,000원",354,0,
550,189749546,AI 게임 개발 시작,누구나 게임을 만든다 (왕초보편),김정태,홍릉,2026년 05월,,"25,000원","25,000원",228,0,
551,189590627,디자인 콘셉트와 AI,,김수홍,커뮤니케이션북스,2026년 05월,,"12,000원","12,000원",144,0,
552,189477317,오픈클로,24시간 일하는 나만의 맞춤형 AI 비서,오창근,생능북스,2026년 05월,10%,"19,800원","22,000원","1,548",13,9.8
553,189380193,Data AI,,편집부,호산나,2026년 05월,5%,"33,250원","35,000원",168,6,10.0
554,189379748,"함수형 설계, 객체 지향과 만나다",다르면서 통하는  두 패러다임의 공명,로버트 C. 마틴저/장연호역,인사이트(insight),2026년 05월,10%,"29,700원","33,000원",420,0,
555,189378838,AI를 직원처럼 쓰는 마케팅 자동화 시스템,제로 클릭 시대에 선택받기 위한 AI 마케팅 실전 전략,"이종구,이정화,김회균,손정화",디지털콘텐츠그룹,2026년 05월,10%,"21,600원","24,000원",228,0,
556,189238126,데이터 분석 오답 노트,"빅쿼리, 파이썬, 스프레드시트, 루커 스튜디오로 비즈니스 이해부터 문제 정의, 결과 전달까지","주정민,허현",영진닷컴,2026년 05월,10%,"22,500원","25,000원",384,24,9.9
557,189115597,AI 탐구 수업,좋은 질문과 창의적 생각으로 새로운 가능성을 탐구한다,정종수,플루토,2026년 05월,10%,"15,300원","17,000원",396,4,9.5
558,189010945,AI와 방첩 체계,,권오국,커뮤니케이션북스,2026년 05월,,"12,000원","12,000원",72,0,
559,188920794,"세상을 복제하는 공장, Physical AI 데이터팩토리 실습 : 기초",,손병희,꾸그티처스,2026년 03월,10%,"13,500원","15,000원",246,1,2.0
560,188906357,AI 수학 개념만이라도 충분하다,비전공자도 알 수 있는 인공지능의 작동원리,김용현,골든벨,2026년 03월,5%,"19,000원","20,000원",519,2,10.0
561,188600613,AI와 특수교육 (큰글자책),,김호연,커뮤니케이션북스,2026년 04월,,"25,000원","25,000원",72,0,
562,188014931,아마존 웹 서비스,AWS Discovery Book,권영환,정보문화사,2026년 05월,10%,"28,800원","32,000원",294,13,9.7
563,187485043,제조업 AI 내재화와 기술 경영,,손승진,커뮤니케이션북스,2026년 04월,,"12,000원","12,000원",114,0,
564,187166773,해상도를 높여라,"고객 · 시장 · 제품을 읽는 4시점, 판단을 구조화하는 48프레임",우마다 다카아키저/류두진역,인사이트(insight),2026년 04월,10%,"19,800원","22,000원",540,28,9.8
565,187050404,피지컬 AI와 에이전틱 AI가 바꾸는 미래,AI가 몸을 갖는 순간,"권오형,최재용,김보성,김은희,김재연저 외 6명정보 더 보기/감추기권오형최재용김보성김은희김재연나병인유채린임기정차승희최소은김진선",미디어북,2026년 04월,,"20,000원","20,000원","1,332",19,10.0
566,187043724,처음 만나는 AI 에이전트 with 랭체인 & MCP,"랭체인 기반 RAG 실습부터 랭그래프와 CrewAI 멀티 에이전트 설계, FastAPI 기반 MCP 서버 구축까지","김재엽,이민준",제이펍,2026년 05월,10%,"27,000원","30,000원",972,0,
567,186711413,AI로 가속하는 일의 효율화,,하이토 겐고저/콘텐츠 연구소역,정보문화사,2026년 04월,10%,"15,120원","16,800원",186,20,9.6
568,186663875,그림으로 배우는 생성형 AI,생성형 AI의 구조와 동작 방식 이해부터 애플리케이션 설계와 에이전트까지,"프리양카 베르가디아,발리아파 락슈마난저/류광역",한빛미디어,2026년 04월,10%,"29,700원","33,000원","1,461",9,9.6
569,186544340,소프트웨어 설계의 결합 균형,균형 잡힌 커플링으로 복잡한 시스템을 견고하게 만드는 모듈형 설계 원칙,블라드 코노노프저/장연호역,제이펍,2026년 04월,10%,"27,000원","30,000원",918,0,
570,186141317,"AI시대, 스토리텔링의 재탄생","호모 프롬프트의 시대, 스토리텔링의 문법이 바뀐다!",김태원,파람북,2026년 04월,10%,"17,100원","19,000원",732,3,10.0
571,185896235,AI 교양 수업,"비전공자, 직장인, 개발자 모두가 알아야 할 AI 리터러시",최윤철,생능북스,2026년 04월,10%,"16,650원","18,500원",342,23,9.8
572,185862674,개발자가 블로그도 잘 써야 하나요?,"읽히고, 공유되고, 개발자 성장을 도와줄 매력적인 기술 블로그 작성법","피오트르 사르나,신시아 던롭저/김태곤,이미령역",길벗,2026년 04월,10%,"29,700원","33,000원",384,6,10.0
573,185721925,"그냥 따라하다 배우는, 나노바나나 100선",,이재용,비엘북스,2026년 04월,10%,"19,800원","22,000원",960,0,
574,185717805,F1 용어집 1211,F1 No.1 해설가 윤재수가 말하는 용어를 알면 F1이 보인다(2026시즌 최신 용어 반영),윤재수,골든래빗,2026년 04월,,"60,000원","60,000원",336,2,10.0
575,185639310,혼자 해도 프로 선생님처럼 잘 만드는 학교 수업 자료 with 미리캔버스,요즘 선생님들의 시간을 아껴주는 현직 교사 3인의 에듀테크 수업의 모든 것,"김태훈,손민지,유수근",한빛미디어,2026년 04월,10%,"20,700원","23,000원",621,69,10.0
576,185459166,AI에 대한 인권의 역습,,노호창,커뮤니케이션북스,2026년 04월,,"12,000원","12,000원",234,14,10.0
577,184402617,예제가 가득한 제미나이 길라잡이,,이승우,정보문화사,2026년 04월,10%,"15,120원","16,800원","1,311",25,9.9
578,184345369,AI를 활용한 UIUX 디지털디자인 실무,,"김기태,송미선",BOOKK(부크크),2026년 03월,,"29,000원","29,000원",60,0,
579,184312468,LUVIT♥ 클로드와 함께하는 LLM 프로젝트,"박물관 도슨트 봇 프로젝트로 밑바닥부터 배우는 LLM, 클로드 API부터 프롬프트 엔지니어링, 웹 스크레이핑, 프롬프트 캐싱, RAG, MCP, 에이전트, 클로드 스킬까지",이승우,제이펍,2026년 04월,10%,"34,200원","38,000원","1,008",2,10.0
580,183794163,스프링 부트 4 개발자 되기 + AI : 자바 편,JPA+OAuth2+JWT+AWS+스프링 AI와 배우는 스프링 부트 4 Java 백엔드 입문자를 위한 풀 패키지,신선영,골든래빗,2026년 04월,10%,"30,600원","34,000원",636,1,6.0
581,183753179,누구나 쉽게 배우는 영상 편집 with 캡컷 PC 버전,기초부터 실무 활용까지,김수진,아티오,2026년 04월,10%,"12,600원","14,000원",738,0,
582,183747150,맛있는 디자인 프리미어 프로 CC 2026,쉽게 배워 바로 써먹는 유튜브·SNS 콘텐츠 제작을 위한 동영상 편집 & AI 기능,"심수진,윤성우",한빛미디어,2026년 04월,10%,"24,300원","27,000원",900,36,9.8
583,183714326,Vertex AI와 Gemini로 시작하는  생성형 AI 실전 개발,"Google Cloud 기반 Gemini API부터 RAG, Agents, 그리고 MCP, A2A 실습까지 한권으로!",김민형,디지털북스,2026년 04월,10%,"28,800원","32,000원",810,0,
584,183706883,네이버 블로그 첫걸음,"개설부터 글쓰기까지, 초보자를 위한 블로그 기초",전진수,혜지원,2026년 03월,10%,"15,300원","17,000원",678,8,10.0
585,183651449,"어쨌든, 에이전틱 코딩",바이브 코딩을 끝내고 에이전틱 엔지니어링으로 가는 레시피,코다프레스저/양희은역,인사이트(insight),2026년 04월,10%,"22,500원","25,000원","1,698",2,8.0
586,183640934,스프링 AI 인 액션,파이썬 없이 자바로 구축하는 실전 AI 서비스,"크레이그 월즈저/류광,307번역랩역",위키북스,2026년 04월,10%,"28,800원","32,000원",486,0,
587,182995231,AI 비즈니스 정복하기,AI 시대의 비즈니스 성공 교과서,오석현,고북이,2026년 03월,10%,"22,500원","25,000원",420,5,10.0
588,182813489,30일 완성 제미나이 업무 혁명,"제미나이 CLI, Gems, 나노 바나나, 구글 AI 스튜디오, 캔버스까지 시간을 버는 AI 활용법",AI싱크클럽(이재만),루비페이퍼,2026년 04월,10%,"23,400원","26,000원","1,104",45,9.9
589,182813036,[할 수 있다!] 캔바로 콘텐츠 디자인하기,,설시내,시대인,2026년 03월,10%,"10,800원","12,000원",228,10,10.0
590,182805587,디자이너와 엔지니어를 위한 모델 기반 UI 디자인,감각이 아니라 구조로 만드는 UI와 정보 디자인,마루 사토리저/이춘혁역,제이펍,2026년 03월,10%,"25,200원","28,000원",420,0,
591,182625671,Logic Pro 로직 프로 12,,최이진,노하우(도서출판),2026년 04월,10%,"29,700원","33,000원",510,0,
592,182506646,C로 배우는 암호학 프로그래밍,,하재철,메디컬사이언스,2026년 02월,,"24,000원","24,000원",114,3,10.0
593,182476796,생성형 AI 시대 수학 교육,,"유주연,정민주",커뮤니케이션북스,2026년 03월,,"12,000원","12,000원",456,0,
594,182436363,ECMiner™로 시작하는 인공지능 분석,누구나 데이터과학자,"민광기,이혜선,이근철,고영명,최숙저 외 1명정보 더 보기/감추기민광기이혜선이근철고영명최숙김삼용",자유아카데미,2026년 03월,,"33,000원","33,000원",192,0,
595,182413407,A2A × MCP 멀티에이전트 오케스트레이션 실전,"현직 AI Specialist에게 배우는 A2A! A2A x MCP 시스템을 설계, 구축, 운영하며 멀티 에이전트의 기본을 경험한다!",서지영,길벗,2026년 03월,10%,"29,700원","33,000원","1,164",16,9.6
596,182256559,"하루 30분, 나는 제미나이로 돈을 번다",제미나이·Make·캔바·Opal: 아이디어가 돈이 되는 가장 완벽한 AI 워크플로,김민규,한빛미디어,2026년 03월,10%,"17,100원","19,000원","2,826",33,9.3
597,182233286,AI와 영상 시나리오 창작 교육 설계,,이수진,커뮤니케이션북스,2026년 03월,,"12,000원","12,000원",96,0,
598,182142068,양자광학 개론 2/e,,"크리스토퍼 C. 게리,피터 L. 나이트저/남기환역",에이콘출판사,2026년 03월,10%,"36,000원","40,000원",144,0,
599,181865567,선생님의 시간을 지켜주는 생성형AI 활용법,"출근부터 퇴근까지, 교사 맞춤형 생성형AI 200% 활용법","한준구,엄다영,이상선",교사크리에이터협회,2026년 03월,10%,"15,120원","16,800원",444,8,10.0
600,181396562,파이썬을 활용한 수치해석,,이인호,북스힐,2026년 03월,,"35,000원","35,000원",84,0,
601,181201393,멘토시리즈 파이썬 왜 쉽지?,,코리아교육그룹 교육연구소,코리아교육그룹,2026년 03월,10%,"27,000원","30,000원",108,1,10.0
602,181177659,이것이 Spring AI다,LLM을 활용한 AI 에이전트 개발,신용권,한빛미디어,2026년 03월,10%,"31,500원","35,000원",954,12,9.3
603,181124680,레트로의 유니티 성능 최적화,발열은 줄이고 프레임은 높이는 갓겜 개발자의 필독서,이제민,한빛미디어,2026년 03월,10%,"31,500원","35,000원",630,4,10.0
604,181016086,처음 만나는 C#,,이창현,혜지원,2026년 03월,10%,"27,000원","30,000원",534,0,
605,180513905,코어 프런트엔드 UI,리액트와 순수 자바스크립트로 키우는 실무 사고력,정재남,위키북스,2026년 03월,10%,"34,200원","38,000원",600,0,
606,180491274,마케팅 실무에 필요한 최소한의 SQL&빅쿼리 with AI,"SQL 기초 문법부터 RFM 분석, GA4 연동과 루커 스튜디오 대시보드 구축까지",안효영,프리렉,2026년 03월,10%,"24,300원","27,000원",360,2,10.0
607,180490508,네트워크 · 보안 엔지니어를 위한 챗GPT 활용 기술,"반복된 업무를 줄여줄 프롬프트 설계부터 GPTs 제작, 슬랙 연동까지 실무에 바로 쓰는 AI 가이드",박진산,길벗,2026년 03월,10%,"24,300원","27,000원",948,13,9.7
608,180485366,안티그래비티 바이브 코딩 입문,10일간의 탄탄한 기능 구현과 4일 만에 마스터하는 프로의 기획과 설계 전략,박규하,로드북,2026년 03월,10%,"22,500원","25,000원","1,980",11,10.0
609,180484161,자율형 AI 에이전트 서비스 구축하기,FastAPI와 리액트로 뼈대를 세우고 랭체인(LangChain)으로 지능을 완성하는 풀스택 엔지니어링 실전 가이드,정금호,로드북,2026년 03월,10%,"24,300원","27,000원",972,2,10.0
610,180317043,미니멀리즘 프로그래머,"AI 시대, 복잡함을 줄이고 가치를 올리는 개발 원칙",데이비드 토머스저/이민석역,한빛미디어,2026년 02월,10%,"18,000원","20,000원","1,218",24,9.3
611,180162710,5분 제미나이,"기획서는 더 빠르게, 앱 개발은 더 쉽게, 콘텐츠는 더 완벽하게, 멀티모달, 나노바나나, 캔버스, 딥 리서치,Veo,Gems,Google Docs, NotebookLM, Google AI 검색, 모바일 Gemini",오종현,한빛미디어,2026년 02월,10%,"21,600원","24,000원","2,388",34,9.9
612,180143954,R을 활용한 베이지언 데이터 분석,brms 패키지를 중심으로,백영민,한나래아카데미,2026년 03월,,"35,000원","35,000원",162,0,
613,179716972,모던 자바 동시성 프로그래밍,"편리함, 견고함, 고성능, 어느 것도 양보하지 않는 새로운 자바의 표준",ANM 바즐루어 라만저/오명운역,책만,2026년 02월,10%,"29,700원","33,000원","1,956",1,10.0
614,179604283,한 입 크기로 잘라 먹는 리액트,,이정환,인사이트(insight),2026년 02월,10%,"29,700원","33,000원",348,0,
615,178728913,"세상을 복제하는 공장, Physical AI 데이터팩토리",,손병희,꾸그티처스,2026년 02월,10%,"13,500원","15,000원",426,2,2.0
616,178423441,생성형 AI 완전 정복,"프롬프트 엔지니어링부터 LLM, RAG, 미드저니, 달리, 스테이블 디퓨전, 소라, Veo 2, n8n,  CrewAI, AutoGen, AI 에이전트 자동화까지 한 권으로 끝내는 생성형 AI 끝판왕!","정재민,송민호,이지성,윤슬,허수영저 외 3명정보 더 보기/감추기정재민송민호이지성윤슬허수영김혜원권순률박은지",길벗,2026년 02월,10%,"29,700원","33,000원",891,14,10.0
617,178398059,스마트폰이 사라진 교실,"다시 가상에서 현실로, 배움과 관계를 회복하다",구제원,푸른칠판,2026년 03월,10%,"16,200원","18,000원","1,005",15,9.7
618,178064014,그리와 로미의 제미나이 탐험대,"누구나 쉽게 시작하는 생성형 AI, Gemini for Education","김학민,권재범,김상현,박윤진,이민재저 외 2명정보 더 보기/감추기김학민권재범김상현박윤진이민재정진아강지현",앤써북,2026년 03월,10%,"17,820원","19,800원","1,560",43,9.8
619,177997082,대학생을 위한 에듀테크·AI 활용 시크릿북,,"오예림,박신정,김정준,김채담,손재영저 외 5명정보 더 보기/감추기오예림박신정김정준김채담손재영유아미윤옥희이희정진연자정동완",행복에너지,2026년 03월,5%,"20,900원","22,000원",144,3,10.0
620,177702125,한 권으로 끝내는 IT 인프라,,이찬우,길벗캠퍼스,2026년 02월,,"33,000원","33,000원",432,0,
621,177120048,액티브시니어를 위한 스마트폰 및 AI 활용 교과서,디지털복지를 위한 기본 디지털리터러시 책,"이종구,오지성,조아라,임화정",디지털콘텐츠그룹,2026년 02월,10%,"14,400원","16,000원",768,0,
622,177114666,나노바나나로 AI툰 제작하기,,김한재,비엘북스,2026년 02월,10%,"28,800원","32,000원","2,397",14,10.0
623,177059661,허깅페이스로 배우는 멀티모달 모델,"이미지 이해부터 생성, 파인튜닝까지","이정인,정우준",디지털북스,2026년 03월,10%,"19,800원","22,000원",324,2,10.0
624,177044724,한번보고 만드는 AI가 코딩해주는 파이썬,,"류태선,오근철,안가영,조예찬",IMK,2026년 04월,10%,"19,800원","22,000원",528,1,10.0
625,176955803,인공지능이 다 해주는 브루 Vrew 영상 편집 (큰글자책),"유튜브, 숏폼 영상부터 버튜버, 인공지능 목소리 더빙까지 생성형 AI로 영상 콘텐츠 제작하기",지현이저/브루 개발팀감수,시프트,2026년 02월,,"43,000원","43,000원",108,0,
626,176921133,마법 같은 영상 제작을 위한 스마트폰 촬영 및 편집 with 캡컷 (큰글자책),"릴스 마법사 롱제이의 인스타그램, 유튜브 채널 운영을 위한 숏폼 영상 촬영 편집 꿀팁!",김지희,시프트,2026년 02월,,"48,000원","48,000원",252,0,
627,176920892,"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오 (큰글자책)","음악 장르별 특징 파악부터 가사, 광고, 영화, 대중음악 생성을 위한 프롬프트 실습까지!","현병욱(오땡큐),신수진",시프트,2026년 02월,,"39,000원","39,000원",210,0,
628,176548558,한 걸음 앞선 일잘러가 지금 꼭 알아야 할 바이브 코딩 with 커서,"웹 명함 제작부터 사내 스터디 관리 플랫폼까지 커서, n8n, MCP로 완성하는 나의 첫 바이브 코딩 올인원 실습서",김태헌,길벗,2026년 02월,10%,"27,000원","30,000원","1,320",14,10.0
629,176445563,멘토시리즈 MOS 365 파워포인트,,코리아교육그룹 교육연구소,코리아교육그룹,2026년 01월,10%,"15,300원","17,000원","1,512",3,10.0
